x(mm) - Plot 0	I(x) - Plot 0	
62.6	0.00140185	
62.8	0.00192431	
63	0.00320483	
63.2	0.0043966	
63.4	0.00480231	
63.6	0.00416461	
63.8	0.00297235	
64	0.00181937	
64.2	0.00125621	
64.4	0.00156542	
64.6	0.0024416	
64.8	0.00330148	
65	0.00365697	
65.2	0.00329059	
65.4	0.00246517	
65.6	0.00160536	
65.8	0.00119212	
66	0.00139136	
66.2	0.00201328	
66.4	0.0026339	
66.6	0.00293045	
66.8	0.00272484	
67	0.00214034	
67.2	0.00149653	
67.4	0.00115588	
67.6	0.00124314	
67.8	0.00165925	
68	0.00215764	
68.2	0.00241585	
68.4	0.00230144	
68.6	0.0018827	
68.8	0.00141999	
69	0.00112072	
69.2	0.00115434	
69.4	0.0014747	
69.6	0.00185206	
69.8	0.00207765	
70	0.00202146	
70.2	0.0017173	
70.4	0.00134752	
70.6	0.0011021	
70.8	0.0011032	
71	0.00132723	
71.2	0.0016264	
71.4	0.00182194	
71.6	0.00180449	
71.8	0.00158675	
72	0.00129622	
72.2	0.00109293	
72.4	0.00107652	
72.6	0.00123949	
72.8	0.00147111	
73	0.00164728	
73.2	0.00165547	
73.4	0.00150481	
73.6	0.00127413	
73.8	0.00109355	
74	0.00106366	
74.2	0.00118427	
74.4	0.00137806	
74.6	0	
74.8	0	
75	0	
75.2	0	
75.4	0	
75.6	0	
75.8	0	
76	0	
76.2	0	
76.4	0	
76.6	0	
76.8	0	
77	0	
77.2	0	
77.4	0	
77.6	0	
77.8	0	
78	0	
78.2	0	
78.4	0	
78.6	0	
78.8	0	
79	0	
79.2	0	
79.4	0	
79.6	0	
79.8	0	
80	0	
80.2	0	
80.4	0	
80.6	0	
80.8	0	
81	0	
81.2	0	
81.4	0	
81.6	0	
81.8	0	
82	0	
82.2	0	
82.4	0	
82.6	0	
82.8	0	
83	0	
83.2	0	
83.4	0	
83.6	0	
83.8	0	
84	0	
84.2	0	
84.4	0	
84.6	0	
84.8	0	
85	0	
85.2	0	
