in s,C1 in V
-3.2763800E-04,-2.01525E+00
-3.2762400E-04,-2.01525E+00
-3.2761000E-04,-1.98321E+00
-3.2759600E-04,-2.00724E+00
-3.2758200E-04,-2.00724E+00
-3.2756800E-04,-2.01525E+00
-3.2755400E-04,-2.00724E+00
-3.2754000E-04,-2.00724E+00
-3.2752600E-04,-2.01525E+00
-3.2751200E-04,-2.00724E+00
-3.2749800E-04,-1.99122E+00
-3.2748400E-04,-2.00724E+00
-3.2747000E-04,-2.00724E+00
-3.2745600E-04,-2.01525E+00
-3.2744200E-04,-1.98321E+00
-3.2742800E-04,-2.00724E+00
-3.2741400E-04,-1.99923E+00
-3.2740000E-04,-1.99122E+00
-3.2738600E-04,-2.00724E+00
-3.2737200E-04,-2.02325E+00
-3.2735800E-04,-2.03927E+00
-3.2734400E-04,-2.00724E+00
-3.2733000E-04,-2.00724E+00
-3.2731600E-04,-1.98321E+00
-3.2730200E-04,-1.99122E+00
-3.2728800E-04,-2.00724E+00
-3.2727400E-04,-1.99923E+00
-3.2726000E-04,-1.99923E+00
-3.2724600E-04,-2.02325E+00
-3.2723200E-04,-2.02325E+00
-3.2721800E-04,-2.00724E+00
-3.2720400E-04,-1.99923E+00
-3.2719000E-04,-1.99923E+00
-3.2717600E-04,-1.99923E+00
-3.2716200E-04,-1.99923E+00
-3.2714800E-04,-1.99122E+00
-3.2713400E-04,-2.01525E+00
-3.2712000E-04,-1.99923E+00
-3.2710600E-04,-2.02325E+00
-3.2709200E-04,-2.01525E+00
-3.2707800E-04,-2.00724E+00
-3.2706400E-04,-2.00724E+00
-3.2705000E-04,-2.03126E+00
-3.2703600E-04,-2.00724E+00
-3.2702200E-04,-2.01525E+00
-3.2700800E-04,-2.00724E+00
-3.2699400E-04,-1.99923E+00
-3.2698000E-04,-2.03126E+00
-3.2696600E-04,-2.00724E+00
-3.2695200E-04,-2.00724E+00
-3.2693800E-04,-2.02325E+00
-3.2692400E-04,-1.99923E+00
-3.2691000E-04,-2.01525E+00
-3.2689600E-04,-1.99923E+00
-3.2688200E-04,-1.99923E+00
-3.2686800E-04,-2.00724E+00
-3.2685400E-04,-2.00724E+00
-3.2684000E-04,-2.01525E+00
-3.2682600E-04,-2.01525E+00
-3.2681200E-04,-2.00724E+00
-3.2679800E-04,-1.99122E+00
-3.2678400E-04,-2.00724E+00
-3.2677000E-04,-2.01525E+00
-3.2675600E-04,-2.00724E+00
-3.2674200E-04,-2.02325E+00
-3.2672800E-04,-2.00724E+00
-3.2671400E-04,-2.02325E+00
-3.2670000E-04,-1.98321E+00
-3.2668600E-04,-2.02325E+00
-3.2667200E-04,-2.00724E+00
-3.2665800E-04,-1.99923E+00
-3.2664400E-04,-1.99923E+00
-3.2663000E-04,-2.01525E+00
-3.2661600E-04,-1.98321E+00
-3.2660200E-04,-1.99122E+00
-3.2658800E-04,-2.00724E+00
-3.2657400E-04,-2.03126E+00
-3.2656000E-04,-2.00724E+00
-3.2654600E-04,-2.01525E+00
-3.2653200E-04,-1.99122E+00
-3.2651800E-04,-2.01525E+00
-3.2650400E-04,-2.00724E+00
-3.2649000E-04,-2.01525E+00
-3.2647600E-04,-1.99923E+00
-3.2646200E-04,-2.02325E+00
-3.2644800E-04,-1.99923E+00
-3.2643400E-04,-2.01525E+00
-3.2642000E-04,-1.97521E+00
-3.2640600E-04,-2.00724E+00
-3.2639200E-04,-1.97521E+00
-3.2637800E-04,-1.99923E+00
-3.2636400E-04,-2.00724E+00
-3.2635000E-04,-2.00724E+00
-3.2633600E-04,-2.01525E+00
