Displacement,Force
40.29999924,-0.200000003
40.59999847,-0.200000003
40.70000076,-0.200000003
41,-0.200000003
41.20000076,-0.200000003
41.40000153,-0.200000003
41.59999847,-0.200000003
41.90000153,-0.200000003
42.09999847,-0.200000003
42.29999924,-0.200000003
42.59999847,-0.200000003
42.90000153,-0.200000003
43.09999847,-0.200000003
43.40000153,-0.200000003
43.59999847,-0.200000003
43.90000153,-0.200000003
44.20000076,-0.100000001
44.5,0
45.20000076,0
45.59999847,0
45.79999924,0
46.40000153,0
47,0
47.20000076,0
47.40000153,0
48.20000076,0
48.40000153,0
48.79999924,0
49,0
49.20000076,0
49.40000153,0.100000001
49.5,0.100000001
49.70000076,0.100000001
50.09999847,0
50.20000076,0.100000001
50.5,0.100000001
50.70000076,0.100000001
50.90000153,0.100000001
51.09999847,0.100000001
51.29999924,0.100000001
51.59999847,0.100000001
51.90000153,0.100000001
52.09999847,0.100000001
52.20000076,0.100000001
52.5,0.100000001
52.70000076,0.100000001
52.90000153,0.100000001
53.09999847,0.100000001
53.20000076,0.100000001
53.29999924,0.100000001
53.59999847,0.100000001
53.79999924,0.100000001
54,0.100000001
54.20000076,0.100000001
54.40000153,0.100000001
54.59999847,0.100000001
54.79999924,0.100000001
55,0.100000001
55.09999847,0.100000001
55.5,0.100000001
55.70000076,0.100000001
55.90000153,0.100000001
56.09999847,0.100000001
56.29999924,0.100000001
56.5,0.100000001
56.79999924,0.100000001
56.90000153,0.100000001
57.09999847,0.100000001
57.29999924,0.100000001
57.40000153,0.100000001
57.59999847,0.100000001
58.09999847,-0.200000003
58,-0.200000003
57.79999924,-0.200000003
57.59999847,-0.200000003
57.40000153,-0.200000003
57.29999924,-0.200000003
57.20000076,-0.300000012
57.09999847,-0.300000012
56.90000153,-0.300000012
56.79999924,-0.300000012
56.70000076,-0.300000012
56.59999847,-0.300000012
56.5,-0.300000012
56.40000153,-0.300000012
56.20000076,-0.300000012
56,-0.300000012
55.90000153,-0.300000012
55.79999924,-0.300000012
55.70000076,-0.300000012
55.5,-0.300000012
55.40000153,-0.300000012
55.29999924,-0.300000012
55.20000076,-0.300000012
55.09999847,-0.300000012
55,-0.300000012
54.90000153,-0.300000012
54.79999924,-0.300000012
54.70000076,-0.300000012
54.59999847,-0.300000012
54.5,-0.300000012
54.29999924,-0.300000012
54.09999847,-0.300000012
54,-0.300000012
53.90000153,-0.300000012
53.70000076,-0.300000012
53.59999847,-0.300000012
53.5,-0.300000012
53.40000153,-0.300000012
53.29999924,-0.300000012
53.20000076,-0.300000012
53.09999847,-0.300000012
53,-0.300000012
52.90000153,-0.300000012
52.70000076,-0.300000012
52.59999847,-0.300000012
52.5,-0.300000012
52.29999924,-0.300000012
52.09999847,-0.300000012
52,-0.300000012
51.79999924,-0.300000012
51.59999847,-0.300000012
51.5,-0.300000012
51.40000153,-0.300000012
51.29999924,-0.300000012
51.20000076,-0.300000012
51.09999847,-0.300000012
51,-0.300000012
50.90000153,-0.300000012
50.70000076,-0.300000012
50.59999847,-0.300000012
50.40000153,-0.300000012
50.29999924,-0.300000012
50.20000076,-0.300000012
50.09999847,-0.300000012
49.90000153,-0.300000012
49.70000076,-0.300000012
49.59999847,-0.300000012
49.5,-0.300000012
49.40000153,-0.300000012
49.29999924,-0.300000012
49.20000076,-0.300000012
49,-0.300000012
48.90000153,-0.300000012
48.70000076,-0.300000012
48.5,-0.300000012
48.40000153,-0.300000012
48.20000076,-0.300000012
48.09999847,-0.300000012
48,-0.300000012
47.79999924,-0.300000012
47.70000076,-0.300000012
47.59999847,-0.300000012
47.5,-0.300000012
47.40000153,-0.300000012
47.20000076,-0.300000012
47.09999847,-0.300000012
47,-0.300000012
46.90000153,-0.300000012
46.70000076,-0.300000012
46.59999847,-0.300000012
46.40000153,-0.300000012
46.29999924,-0.300000012
46.09999847,-0.300000012
46,-0.300000012
45.79999924,-0.300000012
45.70000076,-0.300000012
45.59999847,-0.300000012
45.5,-0.300000012
45.40000153,-0.300000012
45.29999924,-0.300000012
45.09999847,-0.300000012
45,-0.300000012
44.90000153,-0.300000012
44.79999924,-0.300000012
44.70000076,-0.300000012
44.59999847,-0.300000012
44.40000153,-0.300000012
44.29999924,-0.300000012
44.20000076,-0.300000012
44.09999847,-0.300000012
43.90000153,-0.300000012
43.79999924,-0.300000012
43.70000076,-0.300000012
43.5,-0.300000012
43.40000153,-0.300000012
43.29999924,-0.300000012
43.20000076,-0.300000012
43.09999847,-0.300000012
42.90000153,-0.300000012
42.79999924,-0.300000012
42.70000076,-0.300000012
42.59999847,-0.300000012
42.5,-0.300000012
42.40000153,-0.300000012
42.29999924,-0.300000012
42.20000076,-0.300000012
42.09999847,-0.300000012
42,-0.300000012
41.90000153,-0.300000012
41.79999924,-0.300000012
41.70000076,-0.300000012
41.59999847,-0.300000012
41.5,-0.300000012
41.40000153,-0.300000012
41.29999924,-0.300000012
41.20000076,-0.300000012
41.09999847,-0.300000012
41,-0.300000012
40.90000153,-0.300000012
40.79999924,-0.300000012
40.70000076,-0.300000012
40.59999847,-0.300000012
40.40000153,-0.300000012
40.29999924,-0.300000012
40.20000076,-0.300000012
40.09999847,-0.300000012
40,-0.300000012
39.90000153,-0.300000012
39.70000076,-0.300000012
39.59999847,-0.300000012
39.5,-0.300000012
39.29999924,-0.300000012
39.20000076,-0.300000012
39.09999847,-0.300000012
39,-0.300000012
38.90000153,-0.300000012
38.79999924,-0.300000012
38.59999847,-0.300000012
38.5,-0.300000012
38.40000153,-0.300000012
38.29999924,-0.300000012
38.20000076,-0.300000012
38.09999847,-0.300000012
38,-0.300000012
37.90000153,-0.300000012
37.79999924,-0.300000012
37.70000076,-0.300000012
37.59999847,-0.300000012
37.5,-0.300000012
37.29999924,-0.300000012
37.20000076,-0.300000012
37.09999847,-0.300000012
37,-0.300000012
36.79999924,-0.300000012
36.70000076,-0.300000012
36.5,-0.300000012
36.40000153,-0.300000012
36.29999924,-0.300000012
36.20000076,-0.300000012
36.09999847,-0.300000012
36,-0.300000012
35.90000153,-0.300000012
35.79999924,-0.300000012
35.70000076,-0.300000012
35.5,-0.300000012
35.40000153,-0.300000012
35.29999924,-0.300000012
35.20000076,-0.300000012
35.09999847,-0.300000012
35,-0.300000012
34.90000153,-0.300000012
34.79999924,-0.300000012
34.70000076,-0.300000012
34.5,-0.300000012
34.40000153,-0.300000012
34.29999924,-0.300000012
34.20000076,-0.300000012
34.09999847,-0.300000012
34,-0.300000012
33.90000153,-0.300000012
33.79999924,-0.300000012
33.70000076,-0.300000012
33.59999847,-0.300000012
33.5,-0.300000012
33.40000153,-0.300000012
33.29999924,-0.300000012
33.20000076,-0.300000012
33.09999847,-0.300000012
32.90000153,-0.300000012
32.79999924,-0.300000012
32.70000076,-0.300000012
32.59999847,-0.300000012
32.5,-0.300000012
32.40000153,-0.300000012
32.29999924,-0.300000012
32.20000076,-0.300000012
32.09999847,-0.300000012
32,-0.300000012
31.79999924,-0.300000012
31.70000076,-0.300000012
31.5,-0.300000012
31.39999962,-0.300000012
31.29999924,-0.300000012
31.20000076,-0.300000012
31.10000038,-0.300000012
31,-0.300000012
30.89999962,-0.300000012
30.79999924,-0.300000012
30.70000076,-0.300000012
30.60000038,-0.300000012
30.5,-0.300000012
30.39999962,-0.300000012
