Displacement,Force
18.10000038,-4.399999976
18.20000076,-4.399999976
18.29999924,-4.399999976
18.29999924,-4.299999952
18.39999962,-4.200000048
18.5,-4.100000024
18.60000038,-4.100000024
18.70000076,-4.100000024
18.79999924,-4.100000024
18.89999962,-4.100000024
19,-4.100000024
19.10000038,-4.100000024
19.20000076,-4.100000024
19.29999924,-4.100000024
19.39999962,-4.100000024
19.5,-4
19.60000038,-4
19.60000038,-3.899999976
19.70000076,-3.799999952
19.70000076,-3.700000048
19.79999924,-3.700000048
19.89999962,-3.700000048
20,-3.700000048
20.10000038,-3.700000048
20.20000076,-3.700000048
20.29999924,-3.700000048
20.39999962,-3.700000048
20.5,-3.700000048
20.60000038,-3.700000048
20.70000076,-3.700000048
20.79999924,-3.700000048
20.79999924,-3.600000024
20.89999962,-3.600000024
20.89999962,-3.5
21,-3.399999976
21,-3.300000012
21.10000038,-3.300000012
21.20000076,-3.300000012
21.29999924,-3.300000012
21.39999962,-3.300000012
21.5,-3.300000012
21.60000038,-3.300000012
21.70000076,-3.300000012
21.79999924,-3.300000012
21.89999962,-3.300000012
22,-3.300000012
22.10000038,-3.300000012
22.20000076,-3.100000024
22.29999924,-3.100000024
22.39999962,-3.100000024
22.39999962,-3
22.5,-3
22.5,-2.900000006
22.60000038,-2.900000006
22.70000076,-2.900000006
22.79999924,-2.900000006
22.89999962,-2.900000006
23,-2.900000006
23.10000038,-2.900000006
23.20000076,-2.900000006
23.29999924,-2.900000006
23.39999962,-2.900000006
23.5,-2.800000012
23.60000038,-2.800000012
23.70000076,-2.800000012
23.70000076,-2.700000003
23.79999924,-2.700000003
23.89999962,-2.700000003
24,-2.600000001
24.10000038,-2.600000001
24.10000038,-2.5
24.20000076,-2.5
24.29999924,-2.5
24.39999962,-2.5
24.5,-2.5
24.60000038,-2.5
24.70000076,-2.5
24.79999924,-2.5
24.89999962,-2.5
25,-2.5
25.10000038,-2.5
25.20000076,-2.5
25.29999924,-2.5
25.39999962,-2.5
25.5,-2.5
25.5,-2.399999999
25.60000038,-2.399999999
25.60000038,-2.299999997
25.70000076,-2.299999997
25.79999924,-2.299999997
25.89999962,-2.199999988
26,-2.099999994
26.10000038,-2.099999994
26.20000076,-2.099999994
26.29999924,-2.099999994
26.39999962,-2.099999994
26.5,-2.099999994
26.60000038,-2.099999994
26.70000076,-2.099999994
26.79999924,-2.099999994
27,-2.099999994
27.20000076,-2.099999994
27.29999924,-2.099999994
27.39999962,-2.099999994
27.5,-2.099999994
27.60000038,-2.099999994
27.70000076,-2.099999994
27.79999924,-2
27.89999962,-2
28,-2
28.10000038,-2
28.10000038,-1.899999976
28.20000076,-1.800000012
28.29999924,-1.800000012
28.39999962,-1.800000012
28.5,-1.699999988
28.60000038,-1.699999988
28.70000076,-1.699999988
28.79999924,-1.699999988
28.89999962,-1.699999988
29,-1.699999988
29.10000038,-1.699999988
29.20000076,-1.699999988
29.29999924,-1.699999988
29.39999962,-1.699999988
29.5,-1.699999988
29.60000038,-1.699999988
29.70000076,-1.699999988
